scale,R,T,budget_seconds,seed,cost,served_all,frac_served,n_unserved,n_window_solves,n_models_built,n_time_limit,n_no_incumbent,n_fallbacks,mean_solve_s,max_solve_s,mean_build_s,max_build_s,mean_total_per_decision_s,mean_window,max_window,total_solver_seconds,wall_seconds
"R=30,T=90",30,90,0.05,96127,362.406113642678,1,1.0,0,29,29,24,7,7,0.049567732317694305,0.06194186210632324,0.29557466813852884,0.9936059580068104,0.34681249710385975,18.862068965517242,42,10.057562416011933,10.48307866603136
"R=30,T=90",30,90,0.05,96128,324.5879510477956,1,1.0,0,30,30,25,2,2,0.04418821334838867,0.06369519233703613,0.17067320273296596,0.47085287497611716,0.2158800611020221,14.566666666666666,29,6.476401833060663,6.8496614579926245
"R=30,T=90",30,90,0.05,96129,456.9564324172254,1,1.0,0,40,40,33,10,10,0.047983956336975095,0.06386709213256836,0.29081011150119596,1.0800039170426317,0.3403948449209565,17.525,44,13.615793796838261,14.137495875009336
"R=30,T=90",30,90,0.05,96130,286.5276032570732,1,1.0,0,27,27,23,6,6,0.04725220468309191,0.06285715103149414,0.232659541637447,0.6708944999845698,0.28127298767126546,16.62962962962963,35,7.594370667124167,7.930204792006407
"R=30,T=90",30,90,0.05,96131,393.2336563094094,1,1.0,0,32,32,27,2,2,0.047400861978530884,0.0705409049987793,0.18893263806239702,0.5434692910057493,0.2374487839424546,14.875,31,7.5983610861585476,8.03243054205086
"R=30,T=90",30,90,0.05,96132,411.54266681119475,1,1.0,0,34,34,29,9,9,0.05043206495397231,0.06787514686584473,0.2888830427905572,0.9767278750077821,0.34092388606137214,17.941176470588236,42,11.591412126086652,12.040784917015117
"R=30,T=90",30,90,0.05,96133,414.16284188730475,1,1.0,0,30,30,25,5,5,0.04761787255605062,0.06437897682189941,0.1913046471949201,0.7529157499666326,0.24003485962554502,14.633333333333333,37,7.201045788766351,7.524015582981519
"R=30,T=90",30,90,0.05,96134,324.88936539180725,1,1.0,0,29,29,21,2,2,0.045670566887691104,0.06841015815734863,0.18364274996364938,0.8121051670168526,0.2304090602777031,14.03448275862069,38,6.6818627480533905,7.035005500016268
"R=30,T=90",30,90,0.05,96135,302.60906043415946,1,1.0,0,27,27,22,3,3,0.048253394939281324,0.0874638557434082,0.18901587345344187,0.6444091660086997,0.23841332245393898,14.703703703703704,34,6.437159706256352,6.758096874982584
"R=30,T=90",30,90,0.05,96136,397.2445725720591,1,1.0,0,34,34,29,10,10,0.048656828263226676,0.06856799125671387,0.34691597678979363,1.0005629580118693,0.39749629305408557,20.11764705882353,42,13.514873963838909,14.04716025001835
"R=30,T=90",30,90,0.05,96137,315.24813799401886,1,1.0,0,30,30,24,0,0,0.04515684445699056,0.06225013732910156,0.14203047920406486,0.5111666250159033,0.18805424597812817,12.533333333333333,30,5.641627379343845,5.978175083000679
"R=30,T=90",30,90,0.05,96138,292.3693217270462,1,1.0,0,26,26,21,0,0,0.04727680866534893,0.06525087356567383,0.13840406103946196,0.4974353340221569,0.18651258518982033,12.5,30,4.849327214935329,5.135002708993852
"R=30,T=90",30,90,0.05,96139,373.2732692292953,1,1.0,0,32,32,25,3,3,0.047027066349983215,0.061881065368652344,0.17136195056627912,0.7367093749926426,0.2193956134142354,13.75,36,7.020659629255533,7.372894208005164
"R=30,T=90",30,90,0.05,96140,314.5392886446299,1,1.0,0,28,28,22,2,2,0.04884723254612514,0.08575892448425293,0.18833481104229577,0.7463158330065198,0.23826837501006334,14.178571428571429,36,6.6715145002817735,7.018410667020362
"R=30,T=90",30,90,0.05,96141,339.60180853844656,1,1.0,0,31,31,24,4,4,0.04574594959135978,0.06538915634155273,0.18148376207025121,0.6451728329993784,0.22828188161328133,13.838709677419354,34,7.076738330011722,7.413554749975447
"R=30,T=90",30,90,0.05,96142,333.3256422150385,1,1.0,0,31,31,22,3,3,0.04188333019133537,0.06349682807922363,0.17229701479664072,0.6347142920130864,0.21517250012050593,13.258064516129032,34,6.670347503735684,7.007568291970529
"R=30,T=90",30,90,0.05,96143,310.5292546410907,1,1.0,0,33,33,24,0,0,0.04252716266747677,0.06476879119873047,0.13237813649042932,0.4947078339755535,0.17572560373192767,11.818181818181818,30,5.798944923153613,6.144778957997914
"R=30,T=90",30,90,0.05,96144,465.73999920305545,1,1.0,0,39,39,30,9,9,0.04636862339117588,0.06454300880432129,0.2545796581036531,0.9270361250382848,0.3023802274151538,16.82051282051282,41,11.792828869190998,12.274763291003183
"R=30,T=90",30,90,0.05,96145,474.73547275247466,1,1.0,0,37,37,28,11,11,0.047809697486258844,0.06605291366577148,0.2963398885441239,1.058982291026041,0.3457928749408598,18.56756756756757,43,12.794336372811813,13.300558124959935
"R=30,T=90",30,90,0.05,96146,438.45905179264963,1,1.0,0,34,34,31,10,10,0.05162180171293371,0.06182599067687988,0.29776174141443335,0.8992408749763854,0.35106766652760973,18.529411764705884,40,11.93630066193873,12.389098291983828
"R=30,T=90",30,90,0.05,96147,355.4564270790943,1,1.0,0,30,30,24,7,7,0.0476625919342041,0.0672299861907959,0.2600336861020575,0.8264105000416748,0.30917527780402454,17.233333333333334,39,9.275258334120736,9.6660671250429
"R=30,T=90",30,90,0.05,96148,385.24585539994195,1,1.0,0,33,33,29,9,9,0.04972449938456217,0.06162095069885254,0.3274200429741265,1.0471036250237375,0.37896455433854664,19.78787878787879,43,12.505830293172039,13.009199291002005
"R=30,T=90",30,90,0.05,96149,281.2199950180523,1,1.0,0,25,25,20,0,0,0.04502264022827149,0.05838513374328613,0.1106420116010122,0.35844920901581645,0.1563584148371592,11.2,25,3.9089603709289804,4.135833750013262
"R=30,T=90",30,90,0.05,96150,562.5141933911189,1,1.0,0,43,43,37,14,14,0.049756970516470975,0.06903910636901855,0.34930432749354434,0.9731013749842532,0.4009831715537625,20.558139534883722,41,17.242276376811787,17.912802207982168
"R=30,T=90",30,90,0.05,96151,336.5962656585649,1,1.0,0,32,32,25,7,7,0.046128034591674805,0.06397700309753418,0.239313179778037,0.8813319160253741,0.2868186328742013,16.21875,40,9.178196251974441,9.5613846249762
"R=30,T=90",30,90,0.05,96152,325.5542549019654,1,1.0,0,27,27,24,3,3,0.04744698383190014,0.06646418571472168,0.18435269906789203,0.5800357919652015,0.23286898618055232,14.777777777777779,32,6.2874626268749125,6.6174157920177095
"R=30,T=90",30,90,0.05,96153,446.70388402614066,1,1.0,0,29,29,25,4,4,0.04956566054245521,0.06595301628112793,0.237684826099651,0.721090417006053,0.2886101695154954,17.379310344827587,36,8.369694915949367,8.797640791977756
"R=30,T=90",30,90,0.05,96154,379.92366509697206,1,1.0,0,33,33,26,10,10,0.05067777633666992,0.06437397003173828,0.30455910099430406,0.9311690829927102,0.3569585404492858,18.636363636363637,41,11.779631834826432,12.229345250001643
"R=30,T=90",30,90,0.05,96155,356.3448022906547,1,1.0,0,31,31,28,3,3,0.0522284738479122,0.06535983085632324,0.20911705637756253,0.5759674160508439,0.26256426473170696,16.35483870967742,32,8.139492206682917,8.56716958299512
"R=30,T=90",30,90,0.05,96156,358.4318661538952,1,1.0,0,34,34,25,8,8,0.04579386991613051,0.06365799903869629,0.2714879656508428,1.0117945829988457,0.3187928480928188,17.029411764705884,42,10.838956835155841,11.275563291972503
"R=30,T=90",30,90,0.05,96157,300.4238668509628,1,1.0,0,27,27,22,0,0,0.04839894506666395,0.06361103057861328,0.1854253672192701,0.47641175001626834,0.2348882129213221,14.851851851851851,29,6.341981748875696,6.727468500030227
"R=30,T=90",30,90,0.05,96158,403.4484128600826,1,1.0,0,30,30,28,3,3,0.05042118231455485,0.06698489189147949,0.2023104096976264,0.6488837089855224,0.2538906499588241,15.533333333333333,34,7.6167194987647235,8.012865583994426
"R=30,T=90",30,90,0.05,96159,498.4178402183463,1,1.0,0,41,41,28,8,8,0.04463631932328387,0.06676101684570312,0.23319875300157725,0.9828277920023538,0.27915149892924535,15.24390243902439,42,11.44521145609906,11.911395790986717
"R=30,T=90",30,90,0.1,96100,326.9271776746888,1,1.0,0,29,29,25,0,0,0.0925076829976049,0.1063079833984375,0.14727603304119588,0.425270083011128,0.24067391376894223,13.862068965517242,27,6.979543499299325,7.3198025829624385
"R=30,T=90",30,90,0.1,96101,399.393856067734,1,1.0,0,36,36,27,0,0,0.08578305774264866,0.12353992462158203,0.26020602080744637,0.9576066249865107,0.3474627974210307,16.833333333333332,41,12.508660707157105,13.210465667012613
"R=30,T=90",30,90,0.1,96102,314.8517020142146,1,1.0,0,29,29,22,0,0,0.0870543019524936,0.11439108848571777,0.13965064797004492,0.44173654197948053,0.22756774993894366,13.137931034482758,28,6.599464748229366,6.925052625010721
"R=30,T=90",30,90,0.1,96103,482.6201822146586,1,1.0,0,39,39,33,3,3,0.09472063260200696,0.126878023147583,0.36352512820695454,1.1451856659841724,0.46022055144362056,20.743589743589745,45,17.948601506301202,18.852436500019394
"R=30,T=90",30,90,0.1,96104,280.27547503530616,1,1.0,0,30,30,21,0,0,0.0796746015548706,0.10805010795593262,0.2515663390028446,0.7279728749999776,0.33263487930526026,16.733333333333334,36,9.979046379157808,10.543822666979395
