seed,budget_seconds,policy_cost,milp_oracle_cost_from_cache,gap_closure,serve_all_flag,n_window_solves,n_solves_hit_time_limit,n_solves_no_incumbent,n_solves_fallback_fired,measured_total_solve_seconds,measured_mean_per_decision_seconds,n_decisions,measured_total_build_seconds,mean_build_s,mean_solve_s,instance_wall_clock_seconds
90088,1.0,230.02451061316899,,,1,46,31,15,15,33.89619207812939,0.7368737408288998,56,2.830723835155368,0.06153747467729061,0.7368737408288998,36.8620952499914
90089,1.0,274.1970894364523,,,1,55,44,27,27,45.4506007929449,0.8263745598717254,69,4.8773447489365935,0.0886789954352108,0.8263745598717254,50.52155050000874
90090,1.0,348.5272893380433,,,1,69,52,36,36,54.89947925385786,0.7956446268675053,85,7.219578874181025,0.10463157788668152,0.7956446268675053,62.37874191603623
90091,1.0,,,,0,84,59,36,36,64.43635966232978,0.7670995197896402,101,8.03023963054875,0.09559809083986606,0.7670995197896402,72.84075670799939
90092,1.0,304.9368344930461,,,1,58,45,30,30,48.61449024948524,0.8381808663704352,71,5.23480716580525,0.09025529596215949,0.8381808663704352,54.048681333020795
90093,1.0,306.8849705637135,,,1,61,44,28,28,47.10454083379591,0.7722055874392771,75,5.478838375129271,0.08981702254310281,0.7722055874392771,52.79465691599762
90094,1.0,322.0506038669079,,,1,63,48,32,32,52.334017207613215,0.8306986858351304,76,6.295804040390067,0.09993339746650899,0.8306986858351304,58.85984691599151
90095,1.0,297.1761313239156,,,1,59,41,30,30,43.594990420970134,0.7388981427283073,74,5.138347000989597,0.0870906271354169,0.7388981427283073,48.92773674998898
90096,1.0,337.14121243544605,,,1,67,45,33,33,50.19670053786831,0.7492044856398256,81,6.4472921340493485,0.0962282408067067,0.7492044856398256,56.883090000017546
90097,1.0,284.3587623395006,,,1,57,38,16,16,40.43547908391338,0.7093943698932171,69,3.7587692940142006,0.06594332094761755,0.7093943698932171,44.375223667011596
90098,1.0,224.34029838328064,,,1,45,31,22,22,33.3744696660433,0.7416548814676288,55,3.19483333081007,0.07099629624022377,0.7416548814676288,36.69796762499027
90099,1.0,333.801411901307,,,1,67,46,28,28,49.850863541068975,0.74404273941894,81,5.707313294056803,0.08518378050831049,0.74404273941894,55.77737016702304
90100,1.0,302.8254559280531,,,1,61,45,30,30,48.80740121030249,0.8001213313164343,74,5.407744578609709,0.08865155046901162,0.8001213313164343,54.42603091697674
90101,1.0,316.83535239514856,,,1,64,46,26,26,47.67838974518236,0.7449748397684743,76,4.6637248755432665,0.07287070118036354,0.7449748397684743,52.540701083955355
90102,1.0,409.2320606163481,,,1,82,62,41,41,64.628553049115,0.788153085964817,99,8.611565540661104,0.10501909195928176,0.788153085964817,73.55503145797411
90103,1.0,311.65718069921604,,,1,64,45,31,31,46.03721357975155,0.719331462183618,77,5.032096669077873,0.07862651045434177,0.719331462183618,51.25189645803766
90104,1.0,326.39512700369147,,,1,65,48,31,31,49.59947120427387,0.7630687877580595,79,5.333859876845963,0.08205938272070713,0.7630687877580595,55.13895108405268
90105,1.0,260.21618309459296,,,1,54,39,24,24,40.87687441293383,0.7569791557950709,64,4.484754790144507,0.08305101463230569,0.7569791557950709,45.53575479099527
90106,1.0,215.8934080776475,,,1,46,31,16,16,33.43989045888884,0.726954140410627,55,2.770572662120685,0.06022984048088446,0.726954140410627,36.33418983401498
90107,1.0,295.33606760511435,,,1,62,43,31,31,47.08693254220998,0.7594666539066126,72,5.418624875950627,0.0873971754185585,0.7594666539066126,52.70597062498564
90108,1.0,415.0508712664749,,,1,77,63,45,45,66.29278491711011,0.8609452586637677,95,7.903277000121307,0.10263996104053645,0.8609452586637677,74.4798015000415
