seed,R,T,policy_cost,hungarian_distance_only_cost,hungarian_kappa_cost,milp_objective,serve_all_flag,n_unserved_tasks,term_travel_time,term_makespan,term_balance,n_decisions,n_commitments,cost_is_from_failed_rollout,greedy_served_all,greedy_n_unserved,kappa_served_all,kappa_n_unserved,greedy_term_travel_time,greedy_term_makespan,greedy_term_balance,kappa_term_travel_time,kappa_term_makespan,kappa_term_balance,expert_replay_cost,epoch_count,simulator_failure
96039,10,30,185.9428842809879,230.18015743880815,229.72315240013342,,1,0,1726.9726235102041,237.31281842827852,27.318182777152458,48,30,0,1,0,1,0,1758.2031049598177,268.94310041150516,77.0855192737815,1760.1405396488174,268.94310041150516,76.25218168819066,,48,0
96040,10,30,155.58563053452488,189.64263589297008,184.14855113462949,,1,0,1121.8342925347388,201.63807075770137,51.35962201344611,41,30,0,1,0,1,0,1144.3715864214716,229.17107658246493,88.71635559719634,1138.5683046541758,229.17107658246493,81.35897482223027,,41,0
96041,10,30,180.1817331415354,242.53741975275176,245.6652436351545,,1,0,1601.181569233913,225.76434482238957,34.52717486421554,46,30,0,1,0,1,0,1644.9914826979855,271.06304934093714,104.45160527341469,1647.110649405054,271.06304934093714,108.74856573739532,,46,0
96042,10,30,149.1742622987893,197.50480642662717,195.24996173370877,,1,0,1329.7697578520724,199.6464678403996,23.82298023759435,40,30,0,1,0,1,0,1350.5788354020801,207.30483400324303,88.67370483494179,1356.5820527647224,205.02594132031672,85.67187974728498,,40,0
96043,10,30,161.66516285556736,167.01816336998786,168.2866834873845,,1,0,1265.1813357661154,211.88438217213775,43.45044784262336,43,30,0,1,0,1,0,1148.5799652141159,207.76016803224582,63.22000185458164,1168.4939387996203,207.76016803224582,63.22000185458164,,43,0
96044,10,30,150.24559628097427,188.58219385912594,187.14532067801008,,1,0,1250.76275034959,198.63240895959444,32.93604797587166,40,30,0,1,0,1,0,1257.2135823297042,201.45112541244686,86.41738519859153,1253.3625708781988,200.17849511056184,85.14475489670652,,40,0
96045,10,30,218.3638544379675,277.5239773135862,267.9643880969488,,1,0,2041.2174273565474,277.0254103501737,31.45385630062276,56,30,0,1,0,1,0,2045.4568201378836,298.11248370375233,108.74516048620711,2046.5586092882174,300.82785583885925,93.98432857879521,,56,0
96046,10,30,161.64896633168,191.58258131252012,183.17521358140078,,1,0,1353.7192588584626,214.61640587645073,34.389139143177374,43,30,0,1,0,1,0,1251.4416879147518,226.9495954051793,82.47413182223752,1219.883317847002,217.07833275571681,76.68810055954894,,43,0
96047,10,30,127.88223548716839,157.43385151514903,158.62946971561996,,1,0,1139.7010574308251,182.09941094008633,16.67744348225716,37,30,0,1,0,1,0,1164.2904979557075,194.81372863582504,52.4798487702794,1166.0897730505499,194.81372863582504,54.03190099846242,,37,0
96048,10,30,192.21411751427766,222.38317594115279,219.85399753269712,,1,0,1655.9593968543727,235.28196605392523,43.51599206736947,48,30,0,1,0,1,0,1624.2265924404653,249.0815730112632,84.98231269862777,1618.2257225300546,254.7342752102784,79.9536824294442,,48,0
96049,10,30,160.74501197329448,203.0851332632003,202.22312538483652,,1,0,1408.754900669313,216.9002861421495,27.271552309794373,44,30,0,1,0,1,0,1393.740608390471,225.07683885497437,86.61942649146363,1392.4604760452792,224.90301679185998,85.55872165694785,,44,0
96050,10,30,150.85041757015998,172.8982532447377,185.83326947408784,,1,0,1315.0899774805582,192.83761294426736,29.91633369793692,39,30,0,1,0,1,0,1341.21495211462,195.10744743358407,58.400710553428496,1363.7459576922274,204.45635103175957,71.69277672889731,,39,0
96051,10,30,193.99070186151815,264.23582432828584,254.10536861515266,,1,0,1831.6844659172746,258.7659781003976,21.910006940577745,52,30,0,1,0,1,0,1830.0454951383606,291.9262162242604,111.49751563157878,1829.172086326893,287.7382735288913,98.47447052965032,,52,0
96052,10,30,180.27165511999044,200.54366142282936,201.98266957711581,,1,0,1387.3319447038616,219.2456798892529,56.45871673354145,44,30,0,1,0,1,0,1415.2311122243964,235.85401608958824,77.29453914695196,1419.239341476577,235.85401608958824,78.9940135919233,,44,0
96053,10,30,181.25583231401365,201.31024223342155,215.18486121556063,,1,0,1500.5399288827048,231.30090595756363,43.367525621768266,47,30,0,1,0,1,0,1494.106453362783,226.70365170390377,74.33183844309565,1507.505027067646,241.1595278269758,88.04987253186329,,47,0
96054,10,30,187.40413695512532,225.07708054515697,219.01174139195,,1,0,1511.4604529994199,237.26596105179271,49.14246753602637,48,30,0,1,0,1,0,1456.4123448721093,246.6899981690832,105.02132464588291,1460.8697591998935,235.77350790817843,99.66381986293698,,48,0
96055,10,30,194.15400732274534,220.65131634291396,224.42191981898995,,1,0,1619.6988857576414,239.52227651768516,48.15756840063554,48,30,0,1,0,1,0,1578.2582159079352,245.7585127121503,87.84404399311535,1588.468484410477,250.31263295983217,90.75593392429977,,48,0
96056,10,30,156.40789447228317,216.34728233984268,212.62025285390172,,1,0,1390.7803671163265,199.0691855949098,28.827558336416104,40,30,0,1,0,1,0,1488.2185440459639,234.98386414730834,93.60894538634633,1491.00757916612,232.93934075390268,88.7066994231644,,40,0
96057,10,30,152.14519428907926,193.81352647762998,193.81352647762998,,1,0,1336.2702974439924,204.6750550588921,25.76266782307914,41,30,0,1,0,1,0,1344.6498668517756,207.088617163137,83.99063828205539,1344.6498668517756,207.088617163137,83.99063828205539,,41,0
96058,10,30,130.84818944951672,154.4462983563746,154.91163354283418,,1,0,1114.3369684312581,185.86977820653436,21.957432514743175,38,30,0,1,0,1,0,1025.4387974541614,187.8739526658406,63.27878407649095,1025.400326856099,188.3735636490256,63.778395059676,,38,0
96059,10,30,165.3937334239596,221.86687964227818,221.7820612758153,,1,0,1484.108319120275,214.98988628459364,27.712072885789667,43,30,0,1,0,1,0,1560.9665613004843,243.68163607609748,91.88579089215958,1559.6350327845832,243.68163607609748,91.88579089215958,,43,0
